관리번호,전화번호,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
3220000-101-2022-00781,02  69569293,서울특별시 강남구 개포동 1163-8 플롯,"서울특별시 강남구 양재대로 333, 플롯 지상1층 (개포동)",6313.0,카페 라운지,기타,204443.0279,441083.9426
3220000-101-2016-00511,25350102,서울특별시 강남구 대치동 1021-12 지하1층,"서울특별시 강남구 도곡로 456, 지하1층 (대치동)",6279.0,대치티피씨 카페,분식,205265.0059,444011.3593
3220000-101-2023-00104,02  557 3668,서울특별시 강남구 역삼동 719-24 역삼역센트럴푸르지오,"서울특별시 강남구 언주로85길 32, 역삼역센트럴푸르지오 지상2층 204호일부,205호 (역삼동)",6221.0,슬로우앤로 역삼1호점,기타,203519.2709,444294.8425
3220000-101-2022-00894,070 82213459,서울특별시 강남구 논현동 193-27,"서울특별시 강남구 논현로111길 22, 지상1층 101호 (논현동)",6122.0,프로마치 논현 언주역점,"외국음식전문점(인도,태국등)",202732.3764,445028.2667
3220000-101-2025-00911,02  512 8770,서울특별시 강남구 신사동 553-22 브릴리언트빌딩,"서울특별시 강남구 논현로157길 32, 브릴리언트빌딩 1층 (신사동)",6033.0,브릴리언트 커피,기타,202177.8758,446647.636
3220000-101-1994-21650,02 4872137,서울특별시 강남구 청담동 43-9 (삼성21-4에서2000.5.10장소이전),"서울특별시 강남구 학동로 411 (청담동, 삼성21-4에서2000.5.10장소이전))",6069.0,우리집,한식,203877.1861,446210.4447
3220000-101-2024-00760,02  541 7770,서울특별시 강남구 논현동 146-15,"서울특별시 강남구 강남대로124길 39, 지상1층 104호 (논현동)",6114.0,두바이카페,기타,202193.1713,445273.8081
3220000-101-2022-00620,02  557 1508,서울특별시 강남구 대치동 911-14,"서울특별시 강남구 역삼로78길 6, 지상1층 (대치동)",6201.0,코끼리쌀국수 삼성점,한식,204950.1107,444421.6939
3220000-101-2024-01246,02  543 4304,서울특별시 강남구 논현동 233-2,"서울특별시 강남구 논현로114길 18, 지하1층 6호 (논현동)",6109.0,71년 전통 연평도 3대 간장게장,한식,203018.5893,445174.1403
3220000-101-2019-00299,02  64077474,서울특별시 강남구 청담동 3 청담스퀘어,"서울특별시 강남구 도산대로 420, 지상4층 421호 (청담동)",6062.0,돈블랑 강남 청담스퀘어점 (주)신화푸드,한식,203641.9383,446756.9619
3220000-101-2025-01351,070 40074807,서울특별시 강남구 삼성동 159 코엑스,"서울특별시 강남구 영동대로 513, 코엑스 지상1층 B홀 (삼성동)",6164.0,(주)푸드트래블(한시적),한식,205130.5917,445590.0968
3220000-101-2007-00971,5564512,서울특별시 강남구 역삼동 761-18 지상1층,"서울특별시 강남구 언주로 314 (역삼동,지상1층)",6219.0,역삼기사식당,한식,204056.1997,443750.8845
3220000-101-2007-00098,02 5390332,서울특별시 강남구 대치동 909-0 지상1층 102호,"서울특별시 강남구 역삼로 420 (대치동,지상1층 102호)",6200.0,제주우다,분식,204607.2022,444313.9851
3220000-101-1999-19822,234456640,서울특별시 강남구 논현동 163-6 지상1층,"서울특별시 강남구 학동로2길 51 (논현동,지상1층)",6114.0,강남맛집 안자고한우곱창 신논현점,일식,202025.7324,445130.0138
3220000-101-1991-16169,205678300,서울특별시 강남구 역삼동 668-18,"서울특별시 강남구 논현로94길 3, 1층 (역삼동)",6140.0,안사부,한식,203174.298,444467.5446
3220000-101-2025-01362,02  546 5665,서울특별시 강남구 논현동 11-1,"서울특별시 강남구 논현로149길 53, 지상1층 일부, 2층 일부 (논현동)",6039.0,엘엠(LM)시스템즈,한식,202077.3207,446086.7029
3220000-101-2025-01048,02  31473861,서울특별시 강남구 삼성동 159 코엑스,"서울특별시 강남구 영동대로 513, 코엑스 1층 A홀의 일부호 (삼성동)",6164.0,메가박스중앙(주)코엑스지점 메인매점(한시적),기타,205130.5917,445590.0968
3220000-101-2016-00600,02  515 2700,서울특별시 강남구 논현동 95-18,"서울특별시 강남구 도산대로50길 17, 3층 (논현동)",6055.0,스시소라(청담점),일식,203261.331,446567.7413
3220000-101-1993-16031,02 5527249,서울특별시 강남구 역삼동 739-8,서울특별시 강남구 논현로85길 29 (역삼동),6237.0,역삼 뭉티골,한식,203089.668,444036.2574
3220000-101-2025-00437,02  34423722,서울특별시 강남구 신사동 656-4 테라201,"서울특별시 강남구 선릉로155길 23, 테라201 1,2층 (신사동)",6019.0,스타벅스 리저브도산,기타,203265.992,447034.0971
